,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
981,2,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
982,2,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
983,2,3,0,4,6,9,8,3,2,5,4,6,8,5,6,4,4,55,3
984,2,3,5,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3
985,2,3,1,5,7,0,1,4,0,1,0,0,3,2,2,2,3,18,3
986,2,3,4,10,11,4,9,3,5,10,13,9,6,10,13,9,6,93,3
987,2,3,4,11,12,0,1,1,0,0,1,0,0,0,0,0,0,3,3
988,2,3,4,12,13,4,6,6,4,8,8,4,6,5,8,3,3,61,3
989,2,3,4,13,14,70,73,83,74,82,82,101,70,90,101,77,68,901,3
990,2,5,6,15,16,0,0,0,0,0,0,1,0,2,2,1,2,8,3
991,2,5,6,15,17,8,4,6,5,2,3,2,3,5,4,5,0,39,3
992,2,5,6,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3
993,2,5,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
994,2,5,6,15,20,4,5,5,3,6,0,7,4,2,5,3,1,41,3
995,2,5,6,15,10,4,0,3,6,1,1,1,0,1,5,1,2,21,3
996,2,5,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
997,2,5,6,16,16,49,37,60,39,38,56,35,52,28,48,63,53,509,3
998,2,5,6,16,17,4,2,7,4,6,8,8,5,13,9,5,5,72,3
999,2,5,6,16,18,38,21,27,27,29,45,74,53,50,43,51,48,468,3
1000,2,5,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1001,2,5,6,16,20,4,8,7,2,5,9,4,4,6,3,1,3,52,3
1002,2,5,6,16,10,21,15,26,22,27,15,18,17,15,19,27,15,216,3
