,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster_km,Cluster_birch
274,3,3,1,1,1,1,1,4,1,1,1,1,1,0
275,4,3,1,1,1,1,1,3,1,1,1,1,1,0
276,5,3,1,1,1,1,1,6,1,1,1,1,1,0
277,1,3,1,1,1,1,1,2,1,1,1,1,1,0
278,2,2,1,1,1,1,1,5,2,2,1,1,1,0
279,3,3,1,1,1,1,1,5,1,1,1,1,1,0
280,4,3,1,1,1,1,1,4,1,1,1,1,1,0
281,5,3,1,1,1,1,1,5,1,1,1,1,1,0
282,2,3,1,1,1,1,1,5,1,1,1,1,1,0
283,3,2,1,1,1,1,1,5,1,1,1,1,1,0
284,4,2,1,1,1,2,2,4,1,1,1,1,1,0
285,5,3,1,1,1,1,1,2,1,1,1,1,1,0
286,1,3,1,1,1,1,1,4,1,1,1,1,1,0
287,2,3,1,1,1,1,1,4,1,1,1,1,1,0
288,3,3,1,1,1,1,1,3,1,1,1,1,1,0
289,4,3,1,1,1,1,1,3,1,1,1,1,1,0
290,5,3,1,1,1,1,1,6,1,1,1,1,1,0
291,1,2,1,1,1,1,1,4,1,1,1,1,1,0
292,2,3,1,1,1,1,2,5,1,1,1,1,1,0
293,3,2,1,1,1,1,1,9,1,1,1,1,1,0
294,4,3,1,1,1,1,1,6,1,1,1,1,1,0
295,1,3,1,1,1,1,1,1,1,1,1,1,1,0
296,2,3,1,1,1,1,1,4,1,1,1,1,1,0
297,3,3,1,1,1,1,1,2,1,1,1,1,1,0
298,4,2,1,1,1,1,1,3,1,1,1,1,1,0
299,5,3,1,1,1,1,1,4,1,1,1,1,1,0
300,1,2,1,1,1,1,2,4,1,1,1,1,1,0
301,2,3,1,1,1,1,1,3,1,1,1,1,1,0
302,3,2,1,1,1,1,2,2,1,1,1,1,1,0
303,4,3,1,1,1,1,1,4,1,1,1,1,1,0
304,5,3,1,1,1,1,1,3,1,1,1,1,1,0
305,2,3,1,1,1,1,1,6,1,1,1,1,1,0
306,3,3,1,1,1,1,1,3,1,1,1,1,1,0
307,4,3,1,1,1,1,1,4,1,1,1,1,1,0
308,5,3,1,1,1,1,1,4,1,1,1,1,1,0
309,2,2,1,1,1,1,2,5,1,1,1,1,1,0
310,3,3,1,1,1,1,1,4,1,1,1,1,1,0
